Unnamed: 0,dob,file_name,gender,gilbert_number,id,input_form,iver_number,location,post_sound,pre_sound,speaker_number,target_form,transcription,variable,File/Spkr,Vowel,Start,End,Dur,oTime,oPitch,oF1,oF2,oF3,gTime,gPitch,gF1,gF2,gF3,MaxFormants,NumberPoles,Notes
39,1923,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-125-2-125-a.wav,f,125,1-125-2-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,1,new braunfels,ʁ,k,125,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,1910,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-167-3-125-a.wav,m,125,1-167-3-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,1,new braunfels,ʁ,k,167,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,1927,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-169-3-125-a.wav,f,125,1-169-3-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,1,new braunfels,ʁ,k,169,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,1915,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-24-2-125-a.wav,m,125,1-24-2-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,1,new braunfels,ʁ,k,24,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,1932,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-25-3-125-a.wav,m,125,1-25-3-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,1,new braunfels,ʁ,k,25,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,1919,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-33-2-125-a.wav,f,125,1-33-2-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,1,new braunfels,ʁ,k,33,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,1940,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-34-3-125-a.wav,f,125,1-34-3-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,1,new braunfels,ʁ,k,34,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,1-34-3-125-a,ʏ,0.731,0.803,0.072,0.755,169.38,518.50,2090.34,2629.90,0.779,165.68,517.51,1908.58,2335.94,5500 Hz,10,
46,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-448-2-125-a.wav,f,125,1-448-2-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,1,new braunfels,ʁ,k,448,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,1916,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-58-2-125-a.wav,m,125,1-58-2-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,1,new braunfels,ʁ,k,58,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,1917,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-80-2-125-a.wav,f,125,1-80-2-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,1,new braunfels,ʁ,k,80,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/10-107-2-125-a.wav,f,125,10-107-2-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,10,new braunfels,ʁ,k,107,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,10-107-2-125-a,ʏ,0.427,0.511,0.083,0.455,206.16,484.75,1646.27,1991.49,0.483,195.19,584.40,1551.95,1924.87,5500 Hz,10,"
10-107-2-125-a"
50,1927,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/10-110-2-125-a.wav,f,125,10-110-2-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,10,new braunfels,ʁ,k,110,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,1925,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/10-124-2-125-a.wav,f,125,10-124-2-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,10,new braunfels,ʁ,k,124,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,1923,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/10-159-4-125-a.wav,m,125,10-159-4-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,10,new braunfels,ʁ,k,159,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,1924,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/10-168-2-125-a.wav,m,125,10-168-2-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,10,new braunfels,ʁ,k,168,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,1928,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/10-171-2-125-a.wav,f,125,10-171-2-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,10,new braunfels,ʁ,k,171,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/103-388-1-125-a.wav,m,125,103-388-1-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,103,new braunfels,ʁ,k,388,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,1929,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/11-108-2-125-a.wav,m,125,11-108-2-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,11,new braunfels,ʁ,k,108,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,1921,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/112-415-1-125-a.wav,m,125,112-415-1-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,112,"new braunfels, tx",ʁ,k,415,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,1938,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/3-71-2-125-a.wav,f,125,3-71-2-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,3,new braunfels,ʁ,k,71,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,1924,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/60-447-2-125-a.wav,m,125,60-447-2-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,60,new braunfels,ʁ,k,447,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,1929,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/9-156-1-125-a.wav,f,125,9-156-1-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,9,new braunfels,ʁ,k,156,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,1937,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/9-172-2-125-a.wav,f,125,9-172-2-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,9,new braunfels,ʁ,k,172,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,1921,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/san antonio/gilbert/3-97-2-125-a.wav,m,125,3-97-2-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,3,san antonio,ʁ,k,97,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
